question_no,subject_no,subject_name,question_type,question_text,correct_choice_no,has_media,media_paths,explanation,source_type
40,2,소프트웨어 개발,MULTIPLE_CHOICE,다음 중 단위 테스트 도구로 사용될 수 없는 것은?,4,False,,CppUnit - C++ 프로그래밍 언어용 단위 테스트 도구 JUnit - 자바 프로그래밍 언어용 단위 테스트 도구 [해설작성자 : comcbt.com 이용자] HttpUnit - 웹 브라우저 없이 웹 사이트 테스트를 수행하는 데 사용되는 오픈 소스 소프트웨어 테스트 프레임워크 입니다. [해설작성자 : 상동닭집] IgpUnit은 존재하지 않는 유닛입니다. [해설작성자 : 왕재수] 氠瑢 3과목 : 데이터베이스 구축,USER_IMPORTED_HWP
41,3,데이터베이스 구축,MULTIPLE_CHOICE,다음 조건을 모두 만족하는 정규형은? [이미지 자료 참조],1,True,media/q041_media_1.gif,"정규화 과정 [도부이결다조] - 1NF : 모든 *도*메인이 원자 값으로만 구성 - 2NF : 기본키가 아닌 속성이 기본키에 대한 완전 함수적 종속을 만족, *부*분적 함수 종속을 제거한 정규형 - 3NF : 기본키가 아닌 모든 속성이 기본키에 대해 *이*행적 함수 종속 관계를 만족하지 않는 정규형 - BCNF : 모든 *결*정자가 후보키인 정규형, 종속성 보존X - 4NF : *다*치 종속이 성립하는 경우, R의 모든 속성이 A에 함수적 종속 관계를 만족 - 5NF : 모든 *조*인 종속이 R의 후보키를 통해서만 성립되는 정규형 결정자라는 키워드가 있기 때문에 BCNF [해설작성자 : 열라면]",USER_IMPORTED_HWP
42,3,데이터베이스 구축,MULTIPLE_CHOICE,데이터베이스의 트랜잭션 성질들 중에서 다음 설명에 해당하는 것은? [이미지 자료 참조],1,True,media/q042_media_1.gif,"트랜잭션의 특성 - 원자성(Atomicity) : 완전하게 수행 완료되지 않으면 전혀 수행되지 않아야 함 - 일관성(Consistency) : 시스템의 고정 요소는 트랜잭션 수행 전후에 같아야 함 - 격리성(Isolation, 고립성) : 트랜잭션 실행 시 다른 트랜잭션의 간섭을 받지 않아야 함 - 영속성(Durability, 지속성) : 트랜잭션의 완료 결과가 데이터베이스에 영구히 기억됨 [해설작성자 : 두목넷]",USER_IMPORTED_HWP
43,3,데이터베이스 구축,MULTIPLE_CHOICE,분산 데이터베이스 시스템과 관련한 설명으로 틀린 것은?,4,False,,"분산 데이터베이스의 목표 - 위치 투명성(Location Transparency)：하드웨어와 소 프트웨어의 물리적 위치를 사용자가 알 필요가 없다. - 중복(복제) 투명성(Replication Transparency)：사용 자에게 통지할 필요없이 시스템 안에 파일들과 자원들의 부가적인 복사를 자유롭게할수 있다. - 병행 투명성(Concurrency Transparency)：다중 사용 자들이 자원들을 자동으로 공유할 수 있다. - 장애 투명성(Fai ure Transparency)：사용자들은 어느 위치의 시스템에 장애가 발생했는지 알 필요가 없다. [해설작성자 : 두목넷 정보처리] 분산 데이터베이스는 '분산 투명성'을 고려해야 한다.. 분산 데이터베이스 목표는 투명성이며 위치 투명성, 중복 투명성, 병행 투명성, 장애 투명성 4가지의 세부 목표를 가진다.. [해설작성자 : 처기찌래기]",USER_IMPORTED_HWP
44,3,데이터베이스 구축,MULTIPLE_CHOICE,"다음 테이블을 보고 강남지점의 판매량이 많은 제품부터 출력되도록 할 때 다음 중 가장 적절한 SQL 구문은? (단, 출력은 제품명과 판매량이 출력되도록 한다.) [이미지 자료 참조]",4,True,media/q044_media_1.gif,- 판매량이 많은 제품부터 출력되도록 하려면 내림차순 정렬을 적용해야 한다..SQL에서 정렬은 ORDER BY을 사용하며 내림차순은 DESC를 사용한다..오름차순의 경우 생략이나 ASC를 사용한다. [해설작성자 : 두목넷] DESC : descending 내림차순 ASC : ascending 오름차순 [해설작성자 : 주거니아빠],USER_IMPORTED_HWP
45,3,데이터베이스 구축,MULTIPLE_CHOICE,데이터베이스의 인덱스와 관련한 설명으로 틀린 것은?,3,False,,"인덱스(Index) - 데이터베이스 성능에 많은 영향을 주는 DBMS의 구성 요소로 테이블과 클러스터에 연관되어 독립적인 저장 공간을 보유하며, 데이터베이스에 저장된 자료를 더욱 빠르게 조회하기 위하여 별도로 구성한 순서 데이터를 말한다. - 대부분의 데이터베이스에서 테이블을 삭제하면 인덱스도 같이 삭제된다. 오답피하기 - 인덱스 생성 : CREATE - 인덱스 삭제 : DROP [해설작성자 : 두목넷]",USER_IMPORTED_HWP
46,3,데이터베이스 구축,MULTIPLE_CHOICE,물리적 데이터베이스 구조의 기본 데이터 단위인 저장 레코드의 양식을 설계할 때 고려 사항이 아닌 것은?,3,False,,"저장 레코드 양식 설계 시 고려 사항 - 데이터 타입, 데이터 값의 분포, 접근 빈도 오답피하기 | 트랜잭션 모델링 - 트랜잭션을 개념적 시스템 독립적으로 정의한다. - 트랜잭션의 입출력 기능, 형태만 정의한다. - 검색, 갱신, 혼합(검색, 갱신) [해설작성자 : 두목넷 ] 3번 보기 트랜잭션 모델링은 개념적 설계 단계에서 하는것 [해설작성자 : ㅇㅅㅊ]",USER_IMPORTED_HWP
47,3,데이터베이스 구축,MULTIPLE_CHOICE,SQL의 기능에 따른 분류 중에서 REVOKE문과 같이 데이터의 사용 권한을 관리하는데 사용하는 언어는?,3,False,,"DCL 종류 - COMMIT : 명령어로 수행된 결과를 실제 물리적 디스크로 저장하고, 명령어로 수행을 성공적으로 완료하였음을 선언한다. - ROLLBACK : 명령어로 수행을 실패하였음을 알리고, 수행된 결과를 원상복구시킨다. - GRANT : 데이터베이스 사용자에게 사용 권한 부여한다. - REVOKE : 데이터베이스 사용자로부터 사용 권한 취소한다. [해설작성자 : 두목넷] DDL - CREATE : SCHEMA(스키마), DOMAIN(도메인), TABLE(테이블), VIEW(뷰), INDEX(인덱스)를 정의 - ALTER : TABLE에 대한 정의를 변경하는 데 사용 - DROP : SCHEMA(스키마), DOMAIN(도메인), TABLE(테이블), VIEW(뷰), INDEX(인덱스)를 삭제 DML - SELECT : 테이블에서 조건에 맞는 튜플을 검색 - INSERT : 테이블에 새로운 튜플을 삽입 - DELETE : 테이블에서 조건에 맞는 튜플을 삭제 - UPDATE : 테이블에서 조건에 맞는 튜플의 내용 변경 [해설작성자 : 전자공학도]",USER_IMPORTED_HWP
48,3,데이터베이스 구축,MULTIPLE_CHOICE,데이터 사전에 대한 설명으로 틀린 것은?,2,False,,"데이터 사전(Data Dictionary) - 시스템 자신이 필요로 하는 여러 가지 객체(기본 테이블, 뷰, 인덱스, 데이터베이스, 패키지, 접근 권한 등)에 관한 정보를 포함하고 있는 시스템 데이터베이스이다. - 시스템 카탈로그(System Catalog), 메타 데이터(Meta Data)라고도 한다. - 시스템 카탈로그 자체도 시스템 테이블로 구성되어 있어 SQL 문을 이용하여 내용 검색이 가능하다. - 사용자가 시스템 카탈로그를 직접 갱신할 수 없다. - SQL 문으로 여러 가지 객체에 변화를 주면 시스템이 자동으로 갱신한다. [해설작성자 : 두목넷]",USER_IMPORTED_HWP
49,3,데이터베이스 구축,MULTIPLE_CHOICE,데이터베이스에서 릴레이션에 대한 설명으로 틀린 것은?,2,False,,"* 릴레이션의 특징 - 튜플의 유일성 : 모든 튜플은 서로 다른값을 갖는다 - 튜플의 무순서성 : 하나의 릴레이션에 튜플에 순서는 없다 - 속성의 원자성 : 속성값은 원자값을 갖는다 - 속성의 무순서성 : 각 속성은 릴레이션내에서 유일한 이름을 가지며, 순서는 큰 의미가 없다 [해설작성자 : 합격드가자~]",USER_IMPORTED_HWP
50,3,데이터베이스 구축,MULTIPLE_CHOICE,데이터베이스에서의 뷰(View)에 대한 설명으로 틀린 것은?,4,False,,뷰는 논리적으로만 존재한다. [해설작성자 : 칼방이],USER_IMPORTED_HWP
51,3,데이터베이스 구축,MULTIPLE_CHOICE,"트랜잭션의 상태 중 트랜잭션의 마지막 연산이 실행된 직후의 상태로, 모든 연산의 처리는 끝났지만 트랜잭션이 수행한 최종 결과를 데이터베이스에 반영하지 않은 상태는?",2,False,,Partially Committed: 마지막 연산이 실행된 직후의 상태로 아직 Commit 연산 실행 전 Committed: 트랜잭션이 실행을 성공적으로 완료하여 Commit 연산을 수행한 상태 [해설작성자 : 칼방이] Partially Committed: 트랜잭션이 마지막 명령문을 실행한 직후의 상태 Active: 트랜잭션이 실행을 시작하여 실행 중인 상태 Committed: 트랜잭션이 실행을 성공적으로 완료하여 COMMIT연산을 수행한 상태 Aborted: 트랜잭션이 실행에 실패하여 ROLLBACK연산을 수행한 상태 [해설작성자 : 제발합격],USER_IMPORTED_HWP
52,3,데이터베이스 구축,MULTIPLE_CHOICE,"SQL의 명령을 사용 용도에 따라 DDL, DML, DCL로 구분할 경우, 그 성격이 나머지 셋과 다른 것은?",4,False,,"* DML 1. SELECT : 테이블에서 조건에 맞는 튜플 검색 2. INSERT : 테이블에 새로운 튜플 삽입 3. UPDATE : 테이블에서 조건에 맞는 튜플의 내용 갱신 4. DELETE : 테이블에서 조건에 맞는 튜플 삭제 * DCL 1. COMMIT : 명령에 의해 수행된 결과를 실제 물리적 디스크로 저장하고, 데이터베이스 조작 작업이 정상적으로 완료 됐음을 알려주는 명령어 2. ROLLBACK : 아직 COMMIT 되지 않은 변경된 모든내용 들을 취소하고 , 데이터베이스를 이전 상태로 되돌리는 명령어 3. GRANT : 데이터베이스 사용자에게 사용 권한 부여 4. REVOKE : 데이터베이스 사용자의 사용 권한 취소 [해설작성자 : 루니]",USER_IMPORTED_HWP
53,3,데이터베이스 구축,MULTIPLE_CHOICE,키의 종류 중 유일성과 최소성을 만족하는 속성 또는 속성들의 집합은?,3,False,,"Super key(슈퍼키) - 속성들의 집합으로 구성된 키, 릴레이션을 구성하는 모든 튜플들 중 슈퍼키로 구성된 속성의 집합과 동일한 값은 나타나지 않는다. Candidate key(후보키) - 튜플을 유일하게 식별하기 위해 사용하는 속성들의 부분집합 [해설작성자 : 전자공학도] Candidate key(후보키)는 기본키가 될 수 있는 것들이기 때문에 유일성과 최소성을 만족하지만 Super key(슈퍼키)는 동일한 것이 없기에 유일성은 만족하나 속성의 집합이기 때문에 최소성을 만족하지 않음 [해설작성자 : 정처기 파이팅합시다] 후보키(Candidate Key): 기본키로 사용 가능한 속성, 유일성/최소성 만족 기본키(Primary Key): 후보키 중에서 선택됨, 중복된 값과 Null값 가질 수 없음. 반드시 필요한 키 슈퍼키(Super Key): 한 릴레이션 내 속성들의 집합으로 구성된 키, 유일성○, 최소성X [해설작성자 : 합격가자]",USER_IMPORTED_HWP
54,3,데이터베이스 구축,MULTIPLE_CHOICE,데이터베이스에서 개념적 설계 단계에 대한 설명으로 틀린 것은?,3,False,,"데이터베이스 설계단계에서의 트랜잭션 설계단계 - 개념설계 : 트랜잭션 모델링 - 논리설계 : 트랜잭션 인터페이스 설계 - 물리설계 : 트랜잭션 세부설계 [해설작성자 : 두목넷] 개념적 설계 : 트랜잭션 모델링/ 독립적인 개념 스키마 모델링/ 개념스키마 설계/ E-R 다이어그램 논리적 설계 : 트랜잭션 인터페이스 설계/ DBMS에 맞는 논리스키마 설계/ 테이블 설계/ 논리적 매핑/ 스키마 평가 및 정제 물리적 설계 : 레코드 집중의 분석,설계/ 저장레코드 양식 설계 / 저장 구조 및 액세스 경로 설정 [해설작성자 : 브라더진 내일 시험본다..]",USER_IMPORTED_HWP
55,3,데이터베이스 구축,MULTIPLE_CHOICE,테이블의 기본키(Primary Key)로 지정된 속성에 관한 설명으로 가장 거리가 먼 것은?,4,False,,기본키 - 후보키 중에서 선정된 주키(MAIN KEY)로 중복된 값을 가질 수 없다. - 한 릴레이션에서 특정 튜플을 유일하게 구별할 수 있는 속성 - 기본키는 후보키의 성질을 갖는다..즉 튜플을 식별하기 위해 반드시 필요한 키 - 기본키는 NULL 값을 가질 수 없다..즉 기본키로 설정된 속성에는 NULL값이 있어서는 안된다. [해설작성자 : comcbt.com 이용자] - 검색할때 반드시 필요한 것은 아니다 - 하지만 기본키로 검색하면 유일한 튜플을 조회할 수 있다. [해설작성자 : 정처기가 필요한 개발자],USER_IMPORTED_HWP
56,3,데이터베이스 구축,MULTIPLE_CHOICE,데이터 모델의 구성 요소 중 데이터 구조에 따라 개념 세계나 컴퓨터 세계에서 실제로 표현된 값들을 처리하는 작업을 의미하는 것은?,4,False,,"데이터 모델의 구성 요소 - 구조(Structure):논리적인 개체 타입들 간의 관계, 데이터 구조 및 정적 성질을 표현 - 연산(Operation):실제 데이터를 처리하는 작업에 대한 명세로, 조작하는 기본 도구 - 제약 조건(Constraint):DB에 저장될 수 있는 실제 데이터의 논리적인 제약 조건 [해설작성자 : 제발 한번에 합격하고 싶어욤] 데이터 모델링의 구성요소 - 논리적구조(Structure) - 연산(Operation) - 제약조건(Constraint) 논리 데이터 모델의 구성요소 - 개체 - 속성 - 관계 [해설작성자 : ㅁㅁ]",USER_IMPORTED_HWP
57,3,데이터베이스 구축,MULTIPLE_CHOICE,"다음 [조건]에 부합하는 SQL문을 작성하고자 할 때, [SQL문]의 빈칸에 들어갈 내용으로 옳은 것은? (단, '팀코드' 및 '이름'은 속성이며, '직원'은 테이블이다.) [이미지 자료 참조]",4,True,media/q057_media_1.gif,- 하위 질의문은 하위 질의를 먼저 처리하고 검색된 결과는 상위 질의에 적용되어 검색된다. - 직원 테이블에서 “정도일” 팀원의 팀 코드를 검색하여 상위 질의에 반환한다. [해설작성자 : 두목넷],USER_IMPORTED_HWP
58,3,데이터베이스 구축,MULTIPLE_CHOICE,무결성 제약조건 중 개체 무결성 제약조건에 대한 설명으로 옳은 것은?,2,False,,"기본키(Primary Key) - 테이블의 각 레코드를 고유하게 식별하는 필드나 필드의 집합이다. - 테이블에 기본키 설정은 필수가 아니다. - 기본키를 설정하지 않고도 다른 테이블과의 관계를 설정할 수 있다. - 기본키는 혼합속성(다수 필드)에 설정할 수 있다. [해설작성자 : 두목넷] 1.개체 무결성 : 각 릴레이션의 기본키를 구성하는 속성은 널(NULL) 값이나 중복된 값을 가질 수 없습니다. 2,참조무결성 : 외래키 값은 NULL이거나 참조하는 릴레이션의 기본키 값과 동일해야 합니다. 3.도메인 무결성 : 속성들의 값은 정의된 도메인에 속한 값이어야 합니다. 4.고유 무결성 : 특정 속성에 대해 고유한 값을 가지도록 조건이 주어진 경우, 릴레이션의 각 튜플이 가지는 속성 값들은 서로 달라야 합니다. 5.NULL 무결성 : 릴레이션의 특정 속성 값은 NULL 될 수 없습니다. 6.키 무결성 : 각 릴레이션은 최소한 한 개 이상의 키가 존재해야 합니다. [해설작성자 : comcbt.com 이용자]",USER_IMPORTED_HWP
59,3,데이터베이스 구축,MULTIPLE_CHOICE,관계 데이터 모델에서 릴레이션(Relation)에 포함되어 있는 튜플(Tuple)의 수를 무엇이라고 하는가?,2,False,,- 차수(Degree) : 속성의 수 - 카디널리티(Cardinality) : 튜플의 수 (기수) [해설작성자 : 두목넷],USER_IMPORTED_HWP
60,3,데이터베이스 구축,MULTIPLE_CHOICE,사용자 'PARK'에게 테이블을 생성할 수 있는 권한을 부여하기 위한 SQL문의 구성으로 빈칸에 적합한 내용은? [이미지 자료 참조],1,True,media/q060_media_1.gif,PARK 에게 [CREATE TABLE] 권한 취소 REVOKE CREATE TABLE FROM PARK; [해설작성자 : comcbt.com 이용자] 氠瑢 4과목 : 프로그래밍 언어 활용,USER_IMPORTED_HWP
61,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,C언어에서 문자열 처리 함수의 서식과 그 기능의 연결로 틀린 것은?,3,False,,strcat - 문자열 연결 함수 [해설작성자 : 수도공고갤러리 갤주] strcmp - 문자열 비교 [해설작성자 : comcbt.com 이용자] 함수명에 용도를 의미하는 약어가 포함되어 있음 str -> string len -> length cpy -> copy cmp -> compare rev -> reverse [해설작성자 : Jinni],USER_IMPORTED_HWP
62,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,"다음 C언어 프로그램이 실행되었을 때, 실행 결과는? [이미지 자료 참조]",2,True,media/q062_media_1.gif,"a && b -> 1 AND연산 a || b -> 1 OR연산 !c -> 0 NOT연산 1 + 1 + 0 = 2 (최종정답) # C언어 연산자에서는 0이 아닌 모든값은 1(TRUE)로 본다. 그래서 a=1 b=1 c=1 로 바꿔서 대입해도 같은결과가 나온다 [해설작성자 : 루니] Int a,b,c에 정의된 값들을 조건절에 대입. t1= 1&&2 *&&는 좌우가 모두 참이여야 함, 좌우에 모든 값이 존재함으로 1=참 t2=1||2 *||는 좌우 중 1개만 참이어도 참, 좌우 모든 값이 존재함으로 1=참 t3=!c *!는 NOT연산으로 3의 값이 없음을 말하기에 0=거짓 그래서 1+1+0 =2 [해설작성자 : 사람] 비트연산자랑 했갈릴수 있는데 비트연산자는 & 하나만 있어야함 [해설작성자 : 빛나는 하루]",USER_IMPORTED_HWP
63,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,"다음 C언어 프로그램이 실행되었을 때, 실행 결과는? [이미지 자료 참조]",2,True,media/q063_media_1.gif,ob1.c[i] = i ob2.c[i] = i + i ob1.a = ob1.a + ob1.c[i] = 0+2+4+6 + 8 = 20 ob2.a = ob2.a + ob2.c[i] = 0+4+8+12+16 = 40 20 + 40 = 60 [해설작성자 : 루니,USER_IMPORTED_HWP
64,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,IP 프로토콜에서 사용하는 필드와 해당 필드에 대한 설명으로 틀린 것은?,2,False,,"Total Packet Length (16 bits): IP 헤더 및 데이터를 포함한 IP 패킷 전체 길이를 바이트 단위로 길이를 표시. (최대값은 65,535 = 2^16 - 1) [해설작성자 : 루니]",USER_IMPORTED_HWP
65,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,"다음 Python 프로그램의 실행 결과가 [실행결과]와 같을 때, 빈칸에 적합한 것은? [이미지 자료 참조]",2,True,media/q065_media_1.gif,"python 조건문 if, elif, else else if 는 없습니다 ..ㅠㅠ [해설작성자 : 셀랏]",USER_IMPORTED_HWP
66,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,RIP 라우팅 프로토콜에 대한 설명으로 틀린 것은?,2,False,,"RIP(Routing Information Protocol) - 최단 경로 탐색에는 Bellman-Ford 알고리즘을 사용하는 거리 벡터 라우팅 프로토콜 - 라우팅 프로토콜을 IGP와 EGP로 분류했을 때 IGP에 해당한다. - 최단경로탐색에는 Bellman-Ford 알고리즘을 사용한다. - 최적의 경로를 산출하기 위한 정보로서 홉(거리 값)만을 고려하므로, RIP을 선택한 경로가 최적의 경로가 아닌 경우가 많이 발생할 수 있다. - 소규모 네트워크 환경에 적합하다. - 최대 홉 카운트를 15홉 이하로 한정하고 있다. [해설작성자 : 두목넷] 보기 2번 추가 내용 :) * 자율 시스템(AS : Autonomous System) - 하나의 기관 내부를 나타내는 것으로 라우터들과 통신기기들의 집합. 예를 들면 하나의 학내망 * IGP(Interior Gateway Protocol, 내부 게이트웨이 프로토콜) - 학내망 내부에서 라우팅하는것. 즉 하나의 AS 내에서의 라우팅에 사용되는 프로토콜 * EGP(Exterior Gateway Protocol, 외부 게이트웨이 프로토콜) - 학내망과 다른 학내망의 라우팅에 사용. 즉 AS간의 라우팅에 사용되는 프로토콜 RIP는 OSPF와 함께 IGP(내부 게이트웨이 프로토콜)에 해당한다 [해설작성자 : 합격드가자~] RIP = 홉 기반 + 소규모 + Bellman-Ford + 최대 15홉 IGP = 내부용 (RIP, OSPF) EGP = 외부용 (BGP) [해설작성자 : 황승현]",USER_IMPORTED_HWP
67,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,다음에서 설명하는 프로세스 스케줄링은? [이미지 자료 참조],3,True,media/q067_media_1.gif,HRN 스케줄링 방식 - 비선점 스케줄링 실행시간이 긴 프로세스에 불리한 SJF 을 보완하기 위해 대기시간 및 서비스 시간을 이용 긴 작업과 짧은 작업 간의 지나친 불평등을 해소할 수 있다. 우선순위를 계산 숫자가 높은것부터 낮은순으로 순위 부여 (대기시간 + 서비스시간) / 서비스시간 = 우선순위값) 값이 클수록 우선순위가 높다. [해설작성자 : 수도공고갤러리 갤주] HRN 스케줄링 : Highest Response Ratio Next [해설작성자 : comcbt.com 이용자],USER_IMPORTED_HWP
68,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,UNIX 운영체제에 관한 특징으로 틀린 것은?,2,False,,"UNIX 운영체제 주로 서버용 컴퓨터에서 사용됨 time sharing system을 위해 설계된 대화식 운영체제 c언어로 작성되어 이식성 높고, 장치간 호환성 높다. Multi user, Multi tasking 모두 지원. 트리 구조의 파일시스템 [해설작성자 : 합격하자]",USER_IMPORTED_HWP
69,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,UDP 프로토콜의 특징이 아닌 것은?,3,False,,UDP(User Datagram Protocol) - 비연결형 및 비신뢰성 전송 서비스를 제공한다. - 흐름 제어나 순서 제어가 없어 전송 속도가 빠르다. - 수신된 데이터의 순서 재조정 기능을 지원하지 않는다. - 복구 기능을 제공하지 않는다. 오답피하기 - ③ 번은 IP Protocol에 관한 설명이다. [해설작성자 : 두목넷],USER_IMPORTED_HWP
70,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,Python 데이터 타입 중 시퀀스(Sequence) 데이터 타입에 해당하며 다양한 데이터 타입들을 주어진 순서에 따라 저장할 수 있으나 저장된 내용을 변경할 수 없는 것은?,4,False,,"리스트 타입 : 가변형 튜플 타입 : 불변형 [해설작성자 : comcbt.com 이용자] 시퀀스- 리스트 - 순서있고,가변 [1,2,3] 시퀀스- 튜플 - 순서있고,불변 (1,2,3) 세트 - 세트 - 순서없고,중복x {1,2,3} 맵 - 딕셔너리- 순서없고,key-value쌍 {'a':1,'b:2,'c':3} [해설작성자 : comcbt.com 이용자]",USER_IMPORTED_HWP
71,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,"다음 JAVA 프로그램이 실행되었을 때, 실행결과는? [이미지 자료 참조]",2,True,media/q071_media_1.gif,0부터 시작해서 4보다 작은 정수 +는 1씩 증가 [해설작성자 : 낼시험],USER_IMPORTED_HWP
72,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,다음 JAVA 프로그램이 실행되었을 때의 결과는? [이미지 자료 참조],3,True,media/q072_media_1.gif,"mx = a < b ? b : a; a < b 조건문이 참일 경우 전자인 b, 거짓일 경우 후자인 a 가 mx의 값이 됨 여기선 a = 1, b = 2 이기 때문에 a < b 는 참이므로 mx = b = 2 그 다음 if 절의 조건 mx == 1 은 mx = 2 이기 때문에 거짓, else 문으로 넘어감 mn = b < mx ? d : c; b = 2, mx = 2 이기 때문에 b < mx 조건은 거짓, 그러므로 후자인 c 의 값이 mn에 대입됨 mn = c = 3 결과적으로, mn을 출력하게 되면 c의 값 3이 나온다 [해설작성자 : 공부중] mx = 1 < 2 ? 2 : 1; 삼항연산 결과가 mx = 2가 들어가는게 맞구요 else 분기에 타게되어, mn = 2 < mx(2) ? 4 : 3; mn 결과 3 맞는데요? [해설작성자 : comcbt.com 이용자] a = 1, b = 2, c = 3, d = 4 mx = a < b ? b : a mx = 1 < 2 ? 2 : 1 mx = 2 # mx는 1이기 때문에 else 실행 mn = b < mx ? d : c mn = 2 < 2 ? 4 : 3 mn = 3 [해설작성자 : cl0ud] mx = a < b ? b : a; → 1 < 2 이므로 참 → mx = 2 if (mx == 1) → mx = 2 이므로 조건 거짓 → else 실행 mn = b < mx ? d : c; → 2 < 2는 거짓 → mn = c = 3 System.out.println(mn); → 출력: 3 [해설작성자 : 헷갈리실까봐 다시 정리해드려요]",USER_IMPORTED_HWP
73,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,다음 중 Myers가 구분한 응집도(Cohesion)의 정도에서 가장 낮은 응집도를 갖는 단계는?,4,False,,응집도 - (강함) 기능적 응집도 > 순차적 응집도 > 교환적 응집도 > 절차적 응집도 > 시간적 응집도 > 논리적 응집도 > 우연적 응집도 (약함) [해설작성자 : 두목넷],USER_IMPORTED_HWP
74,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,"다음 C언어 프로그램이 실행되었을 때, 실행 결과는? [이미지 자료 참조]",2,True,media/q074_media_1.gif,"r1 - or 연산 한쪽만 참이여도 1 반환 n2<=2(참) -> 1 r2 - =! 부정연산자 3 부정 0 반환 -> 0 r3 - and 연산 둘다 참이여야 1반환 (n1>1) (거짓) -> 0 0 - 0 + 1 = 1 [해설작성자 : 수도공고갤러리 갤주] !n3 -> 논리 부정 연산자 피연산자가 0이면 1을, 나머지 0을 반환 [해설작성자 : 치이카와]",USER_IMPORTED_HWP
75,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,IP 프로토콜의 주요 특징에 해당하지 않는 것은?,1,False,,"데이터 체크섬은 제공하지 않고, 헤더 체크섬만 제공한다. [해설작성자 : 루져]",USER_IMPORTED_HWP
76,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,"4개의 페이지를 수용할 수 있는 주기억장치가 있으며, 초기에는 모두 비어 있다고 가정한다. 다음의 순서로 페이지 참조가 발생할 때, LRU 페이지 교체 알고리즘을 사용할 경우 몇 번의 페이지 결함이 발생하는가? [이미지 자료 참조]",1,True,media/q076_media_1.gif,"1 | 1 [결함(부재)] 2 | 1 2 [결] 3 | 1 2 3 [결] 1 | 1 2 3 [적재되어 있는 1 참조] 2 | 1 2 3 [적재되어 있는 2 참조] 4 | 1 2 3 4 [결] 1 | 1 2 3 4 [적재되어 있는 1 참조] 2 | 1 2 3 4 [적재되어 있는 2 참조] 5 | 1 2 5 4 [결], [최근까지 남아있었던(LRU기법) 3을 제거, 5 적재] 총 결함 발생 횟수는 5회입니다. [해설작성자 : COOKIE] 마지막 부분을 가장 오랫동안 사용하지 않은 페이지 제거 (LRU 기법)로 수정하면 더 좋을 것 같습니다. [해설작성자 : boan]",USER_IMPORTED_HWP
77,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,사용자 수준에서 지원되는 스레드(thread)가 커널에서 지원되는 스레드에 비해 가지는 장점으로 옳은 것은?,4,False,,"1,2,3 : 커널수준 스레드의 장점 [해설작성자 : 익명]",USER_IMPORTED_HWP
78,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,한 모듈이 다른 모듈의 내부 기능 및 그 내부 자료를 참조하는 경우의 결합도는?,1,False,,"스탬프 결합도 - 두 모듈이 매개변수로 자료를 전달할 때, 자료구조 형태로 전달되어 이용될 때 데이터가 결합되어 있다고 한다. 내용 결합도 - 하나의 모듈이 직접적으로 다른 모듈의 내용을 참조할 때 두 모듈은 내용적으로 결합되어 있다고 한다. 공통 결합도 - 두 모듈이 동일한 전역 데이터를 접근한다면 공통결합 되어 있다고 한다. 결합도 - 두 모듈간의 상호작용, 또는 의존도 정도를 나타내는 것이다 [해설작성자 : 수도공고갤러리 갤주] 내용 결합도 -하나의 모듈이 직접적으로 다른 모듈의 내용을 참조할 때 두 모듈은 내용적으로 결합되어 있는 경우의 결합도 TIP : 쏼라 쏼라~ 내용 참조, 자료 참조 (단어가 있으면) 내용 결합도 공통 결합도 -파라미터가 아닌 모듈 밖에 선언되어 있는 전역 변수를 참조하고 전역 변수를 갱신하는 식으로 상호작용하는 경우의 결합도 TIP : 쏼라 쏼라 ""전역변수"" (단어가 있으면) 공통 결합도! [해설작성자 : 팁만 보세요]",USER_IMPORTED_HWP
