question_no,subject_no,subject_name,question_type,question_text,correct_choice_no,has_media,media_paths,explanation,source_type
41,3,데이터베이스 구축,MULTIPLE_CHOICE,데이터베이스 설계 단계 중 물리적 설계 시 고려 사항으로 적절하지 않은 것은?,1,False,,o 어떤 인덱스를 만들 것인지에 대한 고려 o 성능 향상을 위한 개념 스키마의 변경 여부 검토 o 레코드의 크기 o 파일과 구조 저장을 위한 최소한의 공간 o 빈번한 질의와 트랜잭션들의 수행 속도를 높이기 위한 고려사항 - 응답 시간 - 저장 공간의 효율화 - 트랜잭션 처리량 [해설작성자 : 용소용소] 스키마의 평가 및 정제는 논리적 설계에서 실행된다. [해설작성자 : 망굴],USER_IMPORTED_HWP
42,3,데이터베이스 구축,MULTIPLE_CHOICE,DELETE 명령에 대한 설명으로 틀린 것은?,2,False,,"DELETE문은 테이블내의 튜플들만 삭제, DROP문은 테이블 자체를 삭제 [해설작성자 : ITK]",USER_IMPORTED_HWP
43,3,데이터베이스 구축,MULTIPLE_CHOICE,"어떤 릴레이션 R의 모든 조인 종속성의 만족이 R의 후보 키를 통해서만 만족될 때, 이 릴레이션 R이 해당하는 정규형은?",1,False,,"- 제1정규형 : 릴레이션에 속한 모든 속성의 도메인이 원자값으로만 구성되어 있으면 제 1 정규형에 속한다. - 제2정규형 : 제1 정규형에 속하고, 기본키가 아닌 모든 속성이 기본키에 완전 함수 종속되면 제2 정규형에 속한다.(부분 함수 종속 제거) - 제3정규형 : 제2 정규형에 속하고, 기본키가 아닌 모든 속성이 기본키에 이행적 함수 종속이 되지 않으면 제3 정규형에 속한다. - BCNF(보이스/코드) 정규형 : 릴레이션의 함수 종속 관계에서 모든 결정자가 후보키이면 보이스/코드 정규형에 속한다. - 제4정규형 : BCNF 정규형을 만족하면서 함수 종속이 아닌 다치 종속을 제거해야 만족할 수 있다. - 제5정규형 : 제4 정규형을 만족하면서 후보키를 통하지 않는 조인 종속을 제거해야 만족할 수 있다. [해설작성자 : 강썬] 정규화 단계 - 원부이 결다조",USER_IMPORTED_HWP
44,3,데이터베이스 구축,MULTIPLE_CHOICE,E-R 모델에서 다중값 속성의 표기법은?,3,True,"media/q044_media_1.gif,media/q044_media_2.gif,media/q044_media_3.gif,media/q044_media_4.gif",마름모 : 관계 사각형 : 개체 선 : 관계-속성 연결 [해설작성자 : comcbt.com 이용자],USER_IMPORTED_HWP
45,3,데이터베이스 구축,MULTIPLE_CHOICE,다른 릴레이션의 기본키를 참조하는 키를 의미하는 것은?,3,False,,* 키 : 레코드 또는 튜플을 확인하기 위해 이용되는 속성값,USER_IMPORTED_HWP
46,3,데이터베이스 구축,MULTIPLE_CHOICE,관계해석에서 '모든 것에 대하여'의 의미를 나타내는 논리 기호는?,3,False,,All의 'A'를 뒤집어놓은 상태 [해설작성자 : 몽실몽실] * ∃: 존재한다(There exist) * ∈: t가 r에 속함( t ∈ r ) * ∀: 모든 것에 대하여(for all) * ∪: 합집합 [해설작성자 : 센딘],USER_IMPORTED_HWP
47,3,데이터베이스 구축,MULTIPLE_CHOICE,다음 릴레이션의 Degree와 Cardinality는? [이미지 자료 참조],1,True,media/q047_media_1.gif,"카디널리티=행 디그리(차수)=열 '카행', '디열(차열)'로 암기 [해설작성자 : 마산 양덕동 내년 사십] *열차 = 열+차수(degree) *비행기 = (비)+행+기수(cardinality) [해설작성자 : 센딘]",USER_IMPORTED_HWP
48,3,데이터베이스 구축,MULTIPLE_CHOICE,뷰(View)에 대한 설명으로 틀린 것은?,4,False,,"뷰는 삽입, 갱신, 삭제 연산 시 제약 사항이 있음 [해설작성자 : 1]",USER_IMPORTED_HWP
49,3,데이터베이스 구축,MULTIPLE_CHOICE,관계 대수식을 SQL 질의로 옳게 표현한 것은? [이미지 자료 참조],2,True,media/q049_media_1.gif,거꾸로 풀면됨 문제에서 학생이 가장 뒤에 있음 - 맨 앞에 생각하는 from문에 삽입 from 학생 그럼 2 or 4 문제에서 학과 = 교육 이니까 2번 답 [해설작성자 : 쉽게생각해] Select 연산의 표기형식: σ조건(릴레이션) σ학과='교육'(학생) 의미 -> <학생> 릴레이션에서 '학과'가 '교육'인 튜플들을 추출해줘. Project 연산의 표기형식: π속성리스트(릴레이션) π이름 의미 -> '이름' 속성을 추출해줘. SELECCT (속성명) FROM (테이블) WHERE (조건) 이 SQL 질의에 맞춰 표현하면 SELECT 이름 FROM 학생 WHERE 학과 = '교육'; [해설작성자 : 돌밍이],USER_IMPORTED_HWP
50,3,데이터베이스 구축,MULTIPLE_CHOICE,정규화 과정에서 함수 종속이 A→B 이고 B→C 일 때 A→C인 관계를 제거하는 단계는?,2,False,,"A→B 이고 B→C 일 때 A→C를 만족하는 관계를 다른 말로 말하면, 이행적 종속(Transive Dependency) 관계입니다. 이행적 함수 종속을 제거한다는 뜻은, 2NF(2정규형)에서 3NF(3정규형)가 되는 과정이라고도 볼 수 있겠죠. [해설작성자 : 한달남음]",USER_IMPORTED_HWP
51,3,데이터베이스 구축,MULTIPLE_CHOICE,CREATE TABLE문에 포함되지 않는 기능은?,1,False,,"PRIMARY KEY : 테이블의 기본 키를 정의 / 유일하게 테이블의 각 행을 식별 FOREIGN KEY : 참조 대상을 테이블로 명시 / 외래 키를 정의 / 열과 참조된 테이블의 열 사이의 외래 키 관계를 적용하고 설정 UNIQUE : 테이블 내에서 얻은 유일한 값을 갖도록 하는 속성 NOT NULL : 해당 컬럼은 NULL값을 포함하지 않도록 하는 속성 CHECK : 개발자가 정의하는 제약조건 / 참(TRUE)이어야 하는 조건을 지정 DEFAULT : 해당 필드의 기본값을 설정 2~4번은 해당이 된다..1번은 속성타입 변경이라는 것은 CREATE TABLE에서 사용하는 것중에는 없다 [해설작성자 : JSL연수 53기] 속성타입 변경은 ALTER TABLE 문에 포함되어있다. [해설작성자 : 하드서버덕후] CREATE TABLE에 포함되는 기능: 테이블 생성: 새로운 테이블을 데이터베이스에 추가합니다. 컬럼 정의: 각 컬럼의 이름과 데이터 타입을 지정합니다. 제약조건 설정: PRIMARY KEY, FOREIGN KEY, UNIQUE, NOT NULL 등의 제약조건을 설정하여 데이터 무결성을 강화합니다. 기본값 설정: DEFAULT를 통해 특정 컬럼에 기본값을 지정할 수 있습니다. CREATE TABLE에 포함되지 않는 기능: 속성 타입 변경: 이미 생성된 테이블의 컬럼 데이터 타입을 변경하는 것은 ALTER TABLE 명령어를 사용해야 합니다..CREATE TABLE은 테이블 생성 시의 초기 구조 설정에만 사용됩니다. 데이터 조작: 데이터를 추가, 삭제, 수정하는 기능은 INSERT, DELETE, UPDATE 명령어를 통해 수행됩니다..CREATE TABLE은 이러한 데이터 조작 기능을 포함하지 않습니다. 테이블 삭제: 테이블을 삭제하는 작업은 DROP TABLE 명령어로 수행됩니다. [해설작성자 : 노작가]",USER_IMPORTED_HWP
52,3,데이터베이스 구축,MULTIPLE_CHOICE,SQL과 관련한 설명으로 틀린 것은?,1,False,,"REVOKE는 DCL에 해당 하는 권한을 해제하는 명령어 [해설작성자 : 그렇다네요] #### DDL(Data Define Language, 데이터 정의어) >DDL은 SCHEMA, DOMAIN, TABLE, VIEW, INDEX를 정의하거나 변경 또는 삭제할 때 사용하는 언어이다. - CREATE: SCHEMA, DOMAIN, TABLE, VIEW, INDEX를 정의한다. - ALTER: TABLE에 대한 정의를 변경하는 데 사용한다. - DROP: SCHEMA, DOMAIN, TABLE, VIEW, INDEX를 삭제한다. #### DML(Data Manipulation Language, 데이터 조작어) >DML은 데이터베이스 사용자가 응용 프로그램이나 질의어를 통하여 저장된 데이터를 실질적으로 처리하는데 사용되는 언어이다. 데이터베이스 사용자와 데이터베이스 관리시스템 간의 인터페이스를 제공한다. - SELECT: 테이블에서 조건에 맞는 튜플을 검색한다. - INSERT: 테이블에 새로운 튜플을 삽입한다. - DELETE: 테이블에서 조건에 맞는 튜플을 삭제한다. - UPDATE: 테이블에서 조건에 맞는 튜플의 내용을 변경한다. #### DCL(Data Control Language, 데이터 제어어) > DCL은 데이터의 보안, 무결성, 회복, 병행 수행 제어 등을 정의하는 데 사용되는 언어이다. 데이터 베이스 관리자가 데이터 관리를 목적으로 사용한다. - COMMIT: 명령에 의해 수행된 결과를 실제 물리적 디스크로 저장하고, 데이터베이스 조작 작업이 정상적으로 완료되었음을 관리자에게 알려준다. - ROLLBACK: 데이터베이스 조작 작업이 비정상적으로 종료되었을 때 원래의 상태로 복구한다. - GRANT: 데이터베이스 사용자에게 사용권한을 부여한다. - REVOKE: 데이터베이스 사용자의 권한을 취소한다. [해설작성자 : bboygg]",USER_IMPORTED_HWP
53,3,데이터베이스 구축,MULTIPLE_CHOICE,다음 SQL문의 실행결과로 생성되는 튜플 수는? [이미지 자료 참조],4,True,media/q053_media_1.gif,SQL문은 : SELECT(컬럼 명) FROM (테이블 명) SQL의 조건이 없으므로 모든 급여가 생성된다..따라서 5개의 튜플이 생성됨. [해설작성자 : 독학하는자],USER_IMPORTED_HWP
54,3,데이터베이스 구축,MULTIPLE_CHOICE,다음 SQL문에서 사용된 BETWEEN 연산의 의미와 동일한 것은? [이미지 자료 참조],1,True,media/q054_media_1.gif,SQL문의 조건은 성적 테이블에 성적(점수)가 90이상 95이하인 학과를 찾아라 이다. [해설작성자 : 독학하는자],USER_IMPORTED_HWP
55,3,데이터베이스 구축,MULTIPLE_CHOICE,트랜잭션의 상태 중 트랜잭션의 수행이 실패하여 Rollback 연산을 실행한 상태는?,1,False,,ROLLBACK = 데이터베이스 조작 작업이 비정상적으로 종료되었을 때 원래의 상태로 복구 = 철회 [해설작성자 : comcbt.com 이용자],USER_IMPORTED_HWP
56,3,데이터베이스 구축,MULTIPLE_CHOICE,데이터 제어어(DCL)에 대한 설명으로 옳은 것은?,3,False,,,USER_IMPORTED_HWP
57,3,데이터베이스 구축,MULTIPLE_CHOICE,"테이블 R과 S에 대한 SQL에 대한 SQL문이 실행되었을 때, 실행결과로 옳은 것은? [이미지 자료 참조]",4,True,"media/q057_media_1.gif,media/q057_media_2.gif,media/q057_media_3.gif,media/q057_media_4.gif,media/q057_media_5.gif",SQL문의 : SELECT A FROM R 은 R테이블의 A컬럼의 값을 가져오라 라는 뜻 UNION ALL : 각 쿼리의 모든 결과를 포함한 합집합 (중복제거 안함) [해설작성자 : 독학하는자] UNION : 각 쿼리의 결과 합을 반환하는 합집합 (중복제거) [해설작성자 : 대가대훈남2],USER_IMPORTED_HWP
58,3,데이터베이스 구축,MULTIPLE_CHOICE,분산 데이터베이스 시스템(Distributed Database System)에 대한 설명으로 틀린 것은?,4,False,,"분산 데이터베이스 주요 구성 요소는 전역, 분할, 할당, 지역 스키마가 있다. [해설작성자 : 합격기원] 구성요소는 분산처리기, 분산 데이터베이스, 통신 네트워크 [해설작성자 : ssub] 분산 데이터베이스의 구성 요소 - '분산' 1) 분산 처리기 2) 분산 데이터베이스 3) 통신 네트워크 4) 분산 트랜잭션 분산 데이터베이스의 구조 - 전역, 분할(단편화), 할당, 지역 스키마 [해설작성자 : 한번에 붙고싶어]",USER_IMPORTED_HWP
59,3,데이터베이스 구축,MULTIPLE_CHOICE,"테이블 두 개를 조인하여 뷰 V_1을 정의하고, V_1을 이용하여 뷰 V_2를 정의하였다. 다음 명령 수행 후 결과로 옳은 것은? [이미지 자료 참조]",3,True,media/q059_media_1.gif,"CASCADE - 데이터베이스 내의 임의의 다른 테이블과 PRIMARY KEY 또는 FOREIGN KEY로서의 관계가 여전히 존재하는 경우 PRIMARY KEY가 존재하는 테이블을 마음대로 제거 및 비활성화 할 수 없다. - 즉, 부모 테이블과 자식테이블 간에 참조 설정이 되어 있을때 부모 테이블의 제약 조건을 비활성화 시키면서 이를 참조하고 있는 자식 테이블의 제약 조건까지 함께 비활성화시키기 위해 사용한다. - 또한 부모 테이블만 삭제하고 싶을 경우, 원래는 자식테이블을 먼저 삭제하고 부모를 삭제 한 뒤 자식테이블을 다시 만들어야하는 번거로움이 따른다. - 하지만 CASCADE를 쓰면 일시적으로 참조관계를 끊을수 있다. [해설작성자 : 강썬] CASCADE : 연쇄적으로 삭제하라는 뜻. 참조하는(자식) 개체까지 모두 삭제된다. RESTRICTED : 참조 중일 때는 에러를 띄우고 삭제 작업 중지. [해설작성자 : 정처기주주]",USER_IMPORTED_HWP
60,3,데이터베이스 구축,MULTIPLE_CHOICE,데이터베이스에서 병행제어의 목적으로 틀린 것은?,3,False,,병행제어의 목적 - 여러 사용자들의 데이터베이스 공동 사용을 최대화 - 사용자의 응답 시간 최소화 - 데이터베이스 시스템의 활용도 최대화 - 데이터베이스의 일관성 유지 [해설작성자 : 강썬] 氠瑢 4과목 : 프로그래밍 언어 활용,USER_IMPORTED_HWP
61,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,IP 주소체계와 관련한 설명으로 틀린 것은?,1,False,,"IPv4와 IPv6의 차이는 정보처리기사 뿐만이 아니라 대부분의 IT관련 시험에서 다루고 있음 주로 다루는 차이점과 핵심 단어는 아래와 같음 1) IPv4 ㄱ. 32비트 주소 ㄴ. 유니캐스트/멀티캐스트/브로드캐스트 사용 2) IPv6 ㄱ. 128비트 주소 ㄴ. 기존 IPv4의 주소 부족 문제를 해결하기 개발 ㄷ. 인증성/기밀성/무결성 지원 (=보안성 강화) ㄹ. 유니캐스트, 애니캐스트, 멀티캐스트 사용 [해설작성자 : 단기합격은 유튜브 윤파고] IPv6 헤더의 경우는 40 octet의 고정된 길이를 가진다. [해설작성자 : BJY] 1번 보면 ""패킷 헤더""라고 했기 때문에 오답이다. IPv4는 헤더가 가변적이고, 주소크기는 32bit IPv6는 헤더가 40byte(320bit)로 고정되어 있고, 주소크기는 128bit [해설작성자 : 그냥대 융티]",USER_IMPORTED_HWP
62,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,"다음 C언어 프로그램이 실행되었을 때, 실행 결과는? [이미지 자료 참조]",3,True,media/q062_media_1.gif,"p[0]=arr[0] -> p[0]+1=arr[0][1]=2 p[1]=arr[1] -> p[1]+2=arr[1][2]=6 2+6=8 p=arr[0]의 주소 -> p+1=arr[1] -> *(*(p+1)+0)=arr[1][0]=4 위와 같은 계산으로 *(*(p+1)+1=arr[1][1]=5 4+5=9 [해설작성자 : 강썬] 그림으로 그려보자 int arr[2][3] = {1,2,3,4,5,6}; int arr [2][3] 를 좀 쉽게 봐볼까요? int arr [2] [3] 세로 가로 세로가 2개 가로가 3개 1 2 3 4 5 6 이렇게 상상해 보고 좀더 자세히 구분해 보아요 0 1 2 0 1[0][0] 2[0][1] 3[0][2] 1 4[1][0] 5[1][1] 6[1][2] p[0]+1 는 [0][1] 와 같다..[0][1]에 들어 있는 숫자는 '2'이다. p[1]+2 는 [1][2] 와 같다 [1][2]에 들어 있는 숫자는 '6'이다. 2+6 = 8 *(*(p+1)+0는 [1][0] 와 같다 [1][0]에 들어 있는 숫자는 '4'이다. *(*(p+1)+1는 [1][1] 와 같다 [1][1]에 들어 있는 숫자는 '5'이다. 4+5= 9 [해설작성자 : 피드백이 사람을 만든다]",USER_IMPORTED_HWP
63,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,OSI 7계층 중 데이터링크 계층에 해당되는 프로토콜이 아닌 것은?,1,False,,"1계층 - 물리계층(Physical Layer) : Coax, Fiber, Wireless 2계층 - 데이터 링크계층(DataLink Layer) : Ethernet, SLIP, PPP, FDDI, HDLC 3계층 - 네트워크 계층(Network Layer) : IP, IPSec, ICMP, IGMP 4계층 - 전송 계층(Transport Layer) : TCP, UDP, ECN, SCTP, DCCP 5계층 - 세션 계층(Session Layer) : VARIOUS API;S, SOCKETS 6계층 - 표현 계층(Presentation Layer) : SSL, FTP, IMAP, SSH 7계층 - 응용 계층(Application Layer) : HTTP, FTP, IRC, SSH, DNS [해설작성자 : khyun99]",USER_IMPORTED_HWP
64,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,"C언어에서 두 개의 논리 값 중 하나라도 참이면 1을, 모두 거짓이면 0을 반환하는 연산자는?",1,False,,1) || : OR 연산 - 둘 중 하나라도 참이면 1 2) && : AND 연산 - 둘 다 참이어야 1 3) ** : 거듭제곱 4) != : 부등(피연산자가 서로 다를 시 true) [해설작성자 : 단기합격은 유튜브 윤파고],USER_IMPORTED_HWP
65,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,IPv6에 대한 특성으로 틀린 것은?,1,False,,IPv6 : 16비트씩 8부분의 16진수로 표시 [해설작성자 : 정처기 공부],USER_IMPORTED_HWP
66,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,JAVA의 예외(exception)와 관련한 설명으로 틀린 것은?,1,False,,문법 오류는 컴파일 시 에러가 발생하기 때문에 프로그램의 정상적인 실행이 불가능하므로 자바에서 정의한 예외 조건에 부합하지 않는다. [해설작성자 : 김라마],USER_IMPORTED_HWP
67,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,TCP/IP 계층 구조에서 IP의 동작 과정에서의 전송 오류가 발생하는 경우에 대비해 오류 정보를 전송하는 목적으로 사용하는 프로토콜은?,3,False,,ARP : IP 네트워크 상에서 IP주소를 MAC주소로 변환하는 프로토콜 [해설작성자 : 2트를 노려야하나..] ICMP : IP와 조합하여 통신 중에 발생하는 오류의 처리와 전송 경로 변경 등을 위한 제어 메시지를 관리하는 역할을 하는 프로토콜 ARP : 호스트의 IP주소를 호스트와 연결된 네트워크 접속 장치의 물리적 주소로 바꾸는 역할을 하는 프로트콜 PPP : 점대점 데이터링크를 통해 3계층 프로토콜들을 캡슐화시켜 전송하는 프로토콜 [해설작성자 : 주노쿠] ECP(Error Checking Protocol)는 없음 [해설작성자 : 댕복치 ],USER_IMPORTED_HWP
68,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,좋은 소프트웨어 설계를 위한 소프트웨어의 모듈간의 결합도(Coupling)와 모듈 내 요소 간 응집도(Cohesion)에 대한 설명으로 옳은 것은?,2,False,,"좋은 소프트웨어일수록 결합도는 낮고, 응집도는 높다 결합도 : 어떤 모듈이 다른 모듈에 의존하는 정도 응집도 : 한 모듈 내부의 처리 요소들이 서로 관련되어 있는 정도(독립적 기능 수행 정도) 코딩할 때로 예를 들자면 모듈을 만들었는데 이 코드 저 코드 엮어서 거미줄 코딩을 한 경우 서로에 대한 의존도가 높으므로 결합도가 높다고 할 수 있고, 하나의 모듈을 만들었는데 독립적 기능을 수행하며 타 코드와 큰 연관성이 없을 경우 응집도가 높다고 할 수 있다..(한마디로 독립적인 모듈이냐 의존적인 모듈이냐!) 응집도 결합도는 필기/실기 엄청 자주 출제되므로 꼭 잘 모르겠으면, 구글링해서 꼭 제대로 알고 넘어가도록 합시다. [해설작성자 : 단기합격은 유튜브 윤파고]",USER_IMPORTED_HWP
69,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,다음과 같은 형태로 임계 구역의 접근을 제어하는 상호배제 기법은? [이미지 자료 참조],4,True,media/q069_media_1.gif,,USER_IMPORTED_HWP
70,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,소프트웨어 개발에서 모듈(Module)이 되기 위한 주요 특징에 해당하지 않는 것은?,4,False,,다른 모듈에서의 접근이 불가능한 것은 폐쇄적인 것. 모듈은 폐쇄적이거나 접근이 불가능하게 설계할 필요는 없음. [해설작성자 : 내일 시험보는 진효식],USER_IMPORTED_HWP
71,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,"빈 기억공간의 크기가 20KB, 16KB, 8KB, 40KB 일 때 기억장치 배치 전략으로 “Best Fit""을 사용하여 17KB의 프로그램을 적재할 경우 내부단편화의 크기는 얼마인가?",1,False,,문제에서 Best Fit을 물을 시 내부단편화가 제일 작은 보기를 찾으면 됨 1) 20KB - 17KB = 3KB 2) 16KB - 17KB = 불가 3) 8KB - 17KB = 불가 4) 40KB - 17KB = 23KB 따라서 1번이 정답 [해설작성자 : 단기합격은 유튜브 윤파고] - First Fit: 들어갈 수 있는 첫 번째 공간에 넣음 - Best Fit: 내부 단편화(자투리)가 가장 적게 남는 공간에 넣음 - Worst Fit: 가장 큰 공간에 넣음 [해설작성자 : 민트초코담금주],USER_IMPORTED_HWP
72,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,"다음 C언어프로그램이 실행되었을 때, 실행 결과는? [이미지 자료 참조]",4,True,media/q072_media_1.gif,while에서 조건식 대신 1을 지정하면 무한히 반복하는 루프가 만들어집니다..i가 4가 되면 break로 while문을 빠져나오게 되면서 i는 4가 됩니다. [해설작성자 : comcbt.com 이용자],USER_IMPORTED_HWP
73,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,"다음 JAVA 프로그램이 실행되었을 때, 실행 결과는? [이미지 자료 참조]",2,True,media/q073_media_1.gif,"rs(c)는 대충 a=c라고 생각하고 rs(char a[])=rs(char c[]) c의 문자열 크기는 7이므로 a.length=7 rs()는 i가 7미만일때까지 반복한다는 의미 {'A', 'B', 'D', 'D', 'A', 'B', 'C'} 에서 a[0]='A', a[1]='B' 이런식으로 이해하면되는데 rs 첫번째 if문은 a[i]의 값이'B'인 경우 그 값을 B에서 C로 바꾸라는 의미이고 rs 두번째 else if는 i=6일때 a[6]=a[5]로 바꾸라는 의미이고 rs 세번째 else 는 1, 2번째 if문에 충족되지 않는 나머지 경우는 다 a[i]=a[i+1]을 해주라는 의미 {'A', 'B', 'D', 'D', 'A', 'B', 'C'}에서 i=0 이면 A[0]를 A[1]로 변경해서 {'B', 'B', 'D', 'D', 'A', 'B', 'C'} i=1 이면 값이 B이기 때문에 C로 변경 {'B', 'C', 'D', 'D', 'A', 'B', 'C'} i=2 이면 A[2]를 A[3]으로 변경 {'B', 'C', 'D', 'D', 'A', 'B', 'C'} -똑같아서 그대로 방치 i=3 이면 A[3]를 A[4]로 변경 {'B', 'C', 'D', 'A', 'A', 'B', 'C'} i=4 이면 A[4]를 A[5]로 변경 {'B', 'C', 'D', 'A', 'B', 'B', 'C'} i=5 이면 값이 B이기 때문에 C로 변경 {'B', 'C', 'D', 'A', 'B', 'C', 'C'} i=6 이면 A[6]를 A[5]로 변경 {'B', 'C', 'D', 'A', 'B', 'C', 'C'} pca(c)로 와서 char a[] 그대로 출력 정답은 {'B', 'C', 'D', 'A', 'B', 'C', 'C'} = 2번 [해설작성자 : 영남이공대 소프트웨어콘텐츠과]",USER_IMPORTED_HWP
74,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,개발 환경 구성을 위한 빌드(Build) 도구에 해당하지 않는 것은?,2,False,,"Build = 작성된 Source Code를 실제 기기에서 실행 할 수 있는 소프트웨어로 변환하기 위한 과정 1) Ant = 아파치 재단에서 개발한 자바의 공식적인 빌드 도구 2) Kerberos = 컴퓨터 네트워크 인증 암호화 프로토콜로 3) Maven = 아파치 재단에서 개발, Ant 대안으로 개발되었음 4) Gradle = Ant, Maven 의 보완으로 개발된 빌드 도구(안드로이드 스튜디오 주 빌드 도구) [해설작성자 : 단기합격은 유튜브 윤파고]",USER_IMPORTED_HWP
75,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,"3개의 페이지 프레임을 갖는 시스템에서 페이지 참조 순서가 1, 2, 1, 0, 4, 1, 3 일 경우 FIFO 알고리즘에 의한 페이지 교체의 경우 프레임의 최종 상태는?",4,False,,[1] (1) [4] [2] [1] [0] [3] [해설작성자 : 정처기 공부] 1 12 1 // 120 204 041 413 최종 [해설작성자 : 오하요하이] 1 > 1 > 1 > 1 > 2 > 0 > 4 2 2 2 0 4 1 0 4 1 3 [해설작성자 : 전자공학도] request 1 2 1 0 4 1 3 page 1st 1 1 1 1 4 4 4 2nd 2 2 2 2 1 1 3rd 0 0 0 0 3 page-fault 0 0 X 0 0 0 0 답은 : 4 1 3 [해설작성자 : 절대포기하지말자],USER_IMPORTED_HWP
76,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,"다음 C언어 프로그램이 실행되었을 때, 실행 결과는? [이미지 자료 참조]",3,True,media/q076_media_1.gif,"str1[1]=str2[2] => str1의 KOREA중 O가 V로 변경 str1= KVREA str2[3]=str1[4] =>str2의 LOVE중 E가 A로 변경 str2=LOVA p1+2= str1[2]= R [해설작성자 : 영남이공대 소프트웨어콘텐츠과] 덧붙이자면 strcat(str1, str2);에 의해 str1 => ""KVREALOVA""가 됩니다. [해설작성자 : 현직] char str1 [20] = KOREA *20개의 칸이 있고, 맨앞에서부터 KOREA가 들어감 char str2 [20] = LOVE *20개의 칸이 있고, 맨앞에서부터 LOVE가 들어감 p1=str1 (p1을 str1이라고 여김) p2=str2 (p2을 str2이라고 여김) str1[1]=p2[2] *p2(str2)의 2번째인 O를 str1(p1)의 1번째인 O에 삽입. str1 = KVREA str2[3]=p1[4] *p1(str1)의 4번째 A를 str2(p2)의 3번째인 V에 삽입. str2=LOVA strcat에 의해 str2를 str1 뒤로 붙임. KVREALOVE라는 값이 나옴. 여기서 p1+2(str1[2])를 구하면 2번째인 R. **혹시나 해서 말하지만 첫칸은 1이 아니라, 0이에요. [해설작성자 : 친절한 설명]",USER_IMPORTED_HWP
77,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,"다음 Python 프로그램이 실행되었을 때, 실행 결과는? [이미지 자료 참조]",1,True,"media/q077_media_1.gif,media/q077_media_2.gif,media/q077_media_3.gif,media/q077_media_4.gif,media/q077_media_5.gif","list_data에 a가 아니라 'a'이기 때문에 문자 그대로 a로 출력되고 dict_data는 90으로 출력됨 [해설작성자 : 영남이공대 소프트웨어콘텐츠과] list_data {a, b, c} p[] 0 1 2 dict_data a=90 b=95 print(list_datap[0]) // list_data의 p[0]주소의 값을 출력 print(dict_data['a'] // dict_data의 키값 'a'의 값 90을 출력 ** dict_data는 '키값'을 가지고 해당 키의 '값'을 출력한다.. 따라서 실행 결과는 a 다음 90 [해설작성자 : 절대포기하지말자]",USER_IMPORTED_HWP
78,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,"C언어에서 정수 변수 a, b에 각각 1, 2가 저장되어 있을 때 다음 식의 연산 결과로 옳은 것은? [이미지 자료 참조]",2,True,media/q078_media_1.gif,"연산자 우선순위 문제 a < (b+2) -> true a<<1 = 00000001 (1) 에서 좌측시프트 00000010 (2)/ 2<=b = true && - and 연산은 둘다 참일결우 1을 반환 [해설작성자 : 1트에 합격했지롱] C언어라는것을 한번더 체크 a<b+2&&a<<1<=b // && : 좌항(a<b+2)과 우항(a<<1<=b)이 모두 True(1)이면 True(1)이다..추가사항 : false 는 0, True 는 1 이때 a=1, b=2 식에 대입하면 -> 1<2+2&&1<<1<=2 좌항 : 1<2+2 // 사칙연산을 먼저한다. 따라서, 1<4 는 True(1) 우항 : 1<<1<=2 // <<n 는 n비트 만큼 왼쪽으로 이동하라는 뜻 // 1을 binary(2진수)으로 변환하면 1(000000001)이다 // 1을 <<1 해주면 01(00000010)이 된다 // 10을 decimal(10진수)로 변환하면 2가된다. 따라서, 2<=2 는 True(1) 다시 돌아와 본식에 대입해 1<4&&2<=2 면 True(1) 가 된다..따라서 최종답은 2번 True True [해설작성자 : 절대포기하지말자]",USER_IMPORTED_HWP
79,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,"다음 Python 프로그램이 실행되었을 때, 실행 결과는? [이미지 자료 참조]",2,True,"media/q079_media_1.gif,media/q079_media_2.gif,media/q079_media_3.gif,media/q079_media_4.gif,media/q079_media_5.gif",for (반복변수) in [리스트] 결국 리스트에 있는 값 인덱스 기반으로 하나 씩 출력 [해설작성자 : 정처기 공부] 파이썬은 print()하면 자동으로 개행된다 [해설작성자 : 영국인],USER_IMPORTED_HWP
80,4,프로그래밍 언어 활용,MULTIPLE_CHOICE,UNIX 시스템의 쉘(shell)의 주요 기능에 대한 설명이 아닌 것은?,3,False,,"프로세스, 메모리 관리는 커널의 기능 [해설작성자 : 합격기원] 氠瑢 5과목 : 정보시스템 구축관리",USER_IMPORTED_HWP
